bucket_max,ingot_sem,ingot_sum,bucket_kurt,mould_ptp,oil_pressure_min,ingot_ptp,mould_max,bucket_sem,bucket_min,mould_sum,ingot_mode,bucket_skew,bucket_var,ingot_var,ingot_min,bucket_sum,mould_sem,ingot_iqr,ingot_kurt,ingot_skew,mould_iqr,ingot_std,bucket_iqr,mould_kurt,oil_pressure_kurt,mould_min,bucket_ptp,ingot_mean,ingot_median,mould_skew,oil_pressure_skew,oil_pressure_sum,bucket_mode,ingot_max,bucket_std,mould_var,mould_std,final label
0.11562729,-0.12616676,-0.45856413,-0.007027628,-0.1249307,0.27126777,0.6538293,0.42277905,0.06522501,0.18892276,-0.19603135,0.87872785,-0.31206834,-0.10525362,-0.22272141,-0.16272363,-0.5188693,-0.12598348,-0.2515259,0.8041621,-1.035845,-0.092229426,-0.040824026,-0.117547825,-0.0071991705,-0.32255217,0.47062552,-0.12408873,0.63287795,0.60074824,0.4338327,0.466385,-0.5015497,-0.28054056,0.5311146,-0.06918084,-0.09473431,-0.13039549,0
0.07426832,0.036847368,-0.9531365,-0.5500341,-0.12784895,0.2530223,0.5153999,0.75674015,-0.1873929,0.57287705,-1.6407441,-0.25925907,0.6211564,-0.22930385,-0.15566638,-0.6192508,-2.227608,0.042903498,-0.31009275,-0.089267686,-0.42419606,0.013468737,0.14687076,-0.0003470278,-0.43242997,-0.69538563,0.80977505,-0.9841928,0.11632546,0.14271307,-0.01974429,0.8612874,-2.2962866,0.3474624,-0.08408157,-0.7383644,-0.093211345,-0.06267567,1
0.550335,0.54844224,-1.4443635,0.59865224,-0.17725626,0.23157547,0.12612328,-0.36987504,-0.21545053,0.64599514,-0.024658702,0.8858993,-1.0246974,-0.13076366,-0.037737023,0.33184662,0.51949817,-0.12872875,-0.35666618,-0.6375584,0.051699076,-0.06450808,0.4081945,-0.32101917,-0.422991,0.13313764,-0.31417027,-0.083420165,0.625852,0.65214944,-0.48606226,0.16261068,0.3502257,0.8358537,0.47439396,-0.17789055,-0.09457694,-0.121223696,0
0.05698268,-0.28807217,1.1498295,-0.31767026,0.06143376,0.21085407,0.40494645,0.88429356,-0.0371282,0.13130875,1.024869,0.42840025,0.10197287,-0.07500427,-0.28149298,0.8241672,0.4499817,-0.023740776,-0.09228071,-0.6316724,1.9462173,0.019927235,-0.2562218,-0.070091546,-0.34128213,-0.69216275,0.8744848,-0.13768283,0.33063227,0.28243497,0.08803902,0.9396291,0.5198943,0.3631193,1.2760624,0.049599342,-0.09109108,-0.0008360807,1
0.5418099,-0.30389935,0.7195664,0.22311246,-0.12065588,0.2681413,0.028559394,-0.35887706,-0.14341347,0.5702618,0.326206,0.7632264,-0.6010691,-0.09106285,-0.30288756,0.45452803,1.0214702,-0.13394597,-0.13902842,0.9171519,-0.7890031,-0.08112453,-0.360078,-0.22297606,-0.24728225,-0.7151244,-0.3223052,0.04953153,0.5944955,0.54554653,-0.046640307,1.0222837,0.856369,0.09409136,0.49589986,-0.012242086,-0.09456919,-0.12079428,0
0.08972189,-0.3076231,1.3137763,-0.31886232,-0.16512898,0.15158048,0.27922106,0.97447985,-0.102985226,0.14135614,1.342655,0.6839843,0.09798364,-0.08334896,-0.2945455,-0.069355145,0.6735652,-0.12056421,-0.06659848,0.8560996,-0.6364897,-0.05229009,-0.31692028,-0.06748969,-0.42893943,-0.65158665,1.0429428,-0.08579246,0.33085254,0.3072027,-0.2786587,0.5884503,0.7046864,0.37846655,0.22695504,0.017787486,-0.09429029,-0.106403776,1
0.12138242,-0.28836316,0.2842932,0.18227142,-0.18785796,0.026616571,0.10003243,-1.9199077,0.022289455,0.10080577,-1.1842998,0.099406354,-0.55421627,-0.07582544,-0.29594955,-0.57612044,0.16893913,-0.14537455,-0.12959056,0.49607423,-0.4783209,-0.09938373,-0.3239103,-0.2888091,-0.3313357,0.23240572,-1.8800639,0.06508372,-0.37502837,-0.37514645,-0.63038075,-0.6380584,0.15054677,0.3924359,-0.48317924,0.046498533,-0.09489522,-0.14086492,0
0.11551724,-0.22302447,1.0827638,-0.34979668,-0.022217669,0.15377419,1.301393,1.0189793,-0.041725785,0.19832146,1.065499,0.7146834,0.15624084,-0.07967242,-0.21522942,-1.1070898,0.4138933,-0.09380202,0.09354528,0.6958381,-0.5768562,-0.06937721,-0.017615613,-0.07378662,-0.10533071,-0.6570153,1.0393438,-0.14315781,0.2795613,0.2638322,0.53029937,0.79036325,0.41853052,-0.06697422,0.2551643,0.03188697,-0.093696505,-0.080630824,1
-4.1848197,-0.42623857,-1.0246428,-0.6466409,-0.26764008,0.22885092,-1.5616658,-1.8981433,-1.3781502,-3.7172923,-2.0041485,-2.2505488,2.0464041,-0.2747296,-0.34337676,-1.5878313,-2.6329622,-0.1479112,-0.35435888,-1.1516768,1.3583486,-0.119734734,-0.7854344,-0.41673362,-0.38978425,-0.72677517,-1.830862,-1.759312,-2.7727718,-2.6097083,-0.022224411,1.0391449,-1.8096938,-3.835578,-3.2924323,-1.4260377,-0.09522755,-0.16887192,0
-0.049316574,-0.24148157,1.3724364,-0.039459832,0.0990188,0.06530581,1.427527,-1.8027341,0.008784511,-0.030898534,-1.199197,1.0316541,-0.26748544,-0.08311933,-0.23136379,-0.86707723,0.024797808,-0.10120043,-0.0007957515,1.7986547,-1.2577381,-0.08790408,-0.06851004,-0.13757338,1.934901,1.0542779,-1.8590924,-0.046590243,0.6677718,0.62024313,1.9830909,-1.0623858,0.06823476,-0.47434166,0.63553494,0.018672027,-0.09403355,-0.0946084,0
0.45612782,-0.14010662,-0.54436004,-0.031039072,-0.19223185,0.008707415,0.38912353,-0.40873292,-0.09980155,0.59874266,-0.3426452,0.2601048,-0.27955422,-0.12131283,-0.2377477,-0.18756205,0.02222566,-0.14185327,-0.24995048,0.57166356,-0.87252575,-0.09421413,-0.08965357,-0.14788021,-0.3476743,-0.117652655,-0.3484172,-0.19600153,0.39802483,0.38270086,-0.6726515,0.37979993,-0.16905543,0.09360955,0.22319812,-0.13657287,-0.09488937,-0.14046049,0
0.19471346,0.33803657,-0.98729163,0.46303785,-0.013707056,0.37623975,1.2302035,1.0342357,-0.19139884,0.25629225,0.74902225,-0.901129,-0.889566,-0.13295172,0.12309514,-0.9984797,0.144079,-0.10996854,-0.329489,-0.47450924,-0.12130867,-0.0784583,0.69257945,-0.33353752,0.306387,-0.45575154,1.051894,-0.085068524,0.43143225,0.4808883,0.6208375,0.30233547,0.21179545,0.4745308,0.29040778,-0.187648,-0.094238654,-0.10393511,1
0.035904255,1.039449,0.5563072,-0.6438366,-0.220958,0.6306247,1.9658798,0.69544464,-0.032246903,0.2520428,0.6429947,-2.2536502,0.65965456,-0.089421555,5.5984554,-1.5898086,0.14315368,-0.14621654,6.1450763,-1.1985633,1.133233,-0.08896158,4.526931,0.49007094,-0.4216966,0.27469617,0.77941084,-0.42590284,-0.7774942,0.5601879,-0.49629197,-0.7302654,0.39921048,0.07976325,0.469987,-0.0058006505,-0.09490476,-0.14152922,1
0.32021537,-0.28198716,0.73077583,-0.37447295,-0.1246626,0.15028296,0.36021423,0.90018857,-0.08098452,0.20628944,1.6120408,0.078504615,0.305337,-0.060074434,-0.28673786,-0.068799205,1.0493398,-0.12973407,-0.2092514,1.461587,-1.2446822,-0.07386694,-0.27976054,0.22585806,-0.32293805,-0.35630053,0.9539406,0.2911701,0.46294445,0.43482077,-0.13780102,0.09455807,1.0898604,0.47621673,0.3139567,0.10490009,-0.094416596,-0.11268145,0
